,CIN,name_x,name_y
1070,U74999HR1985PLC034079,GKN DRIVELINE (INDIA) LIMITED,Gkn Driveline (India) Limited
1071,U74999HR2012PTC045075,ILLUMINATI TRADING PRIVATE LIMITED,Illuminati Trading Private Limited
1072,U74999MH1957GOI010918,ECGC LIMITED,Ecgc Limited
1073,U74999MH1979PTC021430,RADIANT INTERNATIONAL PRIVATE LIMITED,Radiant International Private Limited
1074,U74999MH1992PLC065826,SAVITA POLYMERS LIMITED,Savita Polymers Limited
1075,U74999MH2000PTC123855,FOWLER WESTRUP (INDIA) PRIVATE LIMITED,Fowler Westrup (India) Private Limited
1076,U74999MH2003GOI143150,NABARD CONSULTANCY SERVICES PRIVATE LIMITED,Nabard Consultancy Services Private Limited
1077,U74999MH2003PLC140849,CLEARCORP DEALING SYSTEMS (INDIA) LIMITED,Clearcorp Dealing Systems (India) Limited
1078,U74999MH2003PLC141236,INTERNATIONAL BIOTECH PARK LIMITED,International Biotech Park Limited
1079,U74999MH2004PTC144036,ALL SERVICES GLOBAL PRIVATE LIMITED,All Services Global Private Limited
1080,U74999PN1997PLC110262,GDA TRUSTEESHIP LIMITED,Catalyst Trusteeship Limited
1081,U74999TN1918PLC002341,SPENCER AND COMPANY LIMITED,Spencer And Company Limited
1082,U74999TN1992PTC022029,STARGATE ENTERPRISES PRIVATE LIMITED,Stargate Enterprises Private Limited
1083,U74999TN2003PLC051878,ASCENDAS IT PARK (CHENNAI) LIMITED,Ascendas It Park (Chennai) Limited
1084,U74999WB1937PTC025402,THE PUNJAB PRODUCE & TRADING CO. PVT. LTD.,The Punjab Produce & Trading Co. Pvt. Ltd.
1085,U75131GJ2001PLC040281,NATIONAL MULTI-COMMODITY EXCHANGE OF INDIA LIMITED,National Multi-Commodity Exchange Of India Limited
1086,U80300MH1993NPL074133,TOLANI EDUCATION FOUNDATION,Tolani Education Foundation
1087,U80302RJ2008PLC026433,RAJASTHAN KNOWLEDGE CORPORATION LIMITED,Rajasthan Knowledge Corporation Limited
1088,U83000MH1926PLC001231,THE ANGLO SCOTTISH EDUCATION SOCIETY,The Anglo Scottish Education Society
1089,U85110DL2004PLC126414,ARTEMIS MEDICARE SERVICES LIMITED,Artemis Medicare Services Limited
1090,U85110KA1974PLC002568,BHURUKA GASES LIMITED,Bhuruka Gases Limited
1091,U85110KA1994PLC015321,ACE MANUFACTURING SYSTEMS LIMITED,Ace Manufacturing Systems Limited
1092,U85110KA1994PTC016562,VBL INNOVATIONS PRIVATE LIMITED,Vbl Innovations Private Limited
1093,U85110KA1995PLC017324,GEM SUGARS LIMITED,Gem Sugars Limited
1094,U85110KA1995PLC018544,ACE MULTI AXES SYSTEMS LIMITED,Ace Multi Axes Systems Limited
1095,U85110KA1997PLC021862,NABARD FINANCIAL SERVICES LIMITED,Nabard Financial Services Limited
1096,U85110KL1996PLC010260,LAKESHORE HOSPITAL AND RESEARCH CENTRE LIMITED,Lakeshore Hospital And Research Centre Limited
1097,U85110MH1994PLC082432,APPLE HOSPITALS AND RESEARCH INSTITUTE LIMITED,Apple Hospitals And Research Institute Limited
1098,U85110MH2000PLC128425,TATA AIG GENERAL INSURANCE COMPANY LIMITED,Tata Aig General Insurance Company Limited
1099,U85110TG2006PTC051751,UNIMED HEALTH CARE PRIVATE LIMITED,Unimed Health Care Private Limited
1100,U85110TG2011PTC074817,ASIAN INSTITUTE OF NEPHROLOGY AND UROLOGY PRIVATE LIMITED,Asian Institute Of Nephrology And Urology Private Limited
1101,U85110TN1994PTC029023,MEDALL HEALTHCARE PRIVATE LIMITED,Medall Healthcare Private Limited
1102,U85190WB1991PTC051096,APURVA EXPORT PVT LTD,Apurva Export Pvt Ltd
1103,U85195WB1998PTC088562,HERITAGE HEALTH TPA PRIVATE LIMITED,Heritage Health Insurance Tpa Private Limited
1104,U85199DL2002PTC113925,RAKSHA TPA PRIVATE LIMITED,Raksha Health Insurance Tpa Private Limited
1105,U85199PN2001PLC019881,ADITYA BIRLA HEALTH SERVICES LIMITED,Aditya Birla Health Services Limited
1106,U90000MH2009PTC194255,ANTONY LARA ENVIRO SOLUTIONS PRIVATE LIMITED,Antony Lara Enviro Solutions Private Limited
1107,U90001TG2009PLC063407,HYDERABAD INTEGRATED MSW LIMITED,Hyderabad Integrated Msw Limited
1108,U90001TG2012PTC078589,CHENNAI MSW PRIVATE LIMITED,Chennai Msw Private Limited
1109,U91990DL1920PLC008223,THE ASSOCIATED CHAMBERS OF COMMERCE AND INDUSTRY OF INDIA,The Associated Chambers Of Commerce And Industry Of India
1110,U92112MH1992PTC068612,RAJSHRI ENTERTAINMENT PRIVATE LIMITED,Rajshri Entertainment Private Limited
1111,U92113KL1996PTC010386,V STAR CREATIONS PRIVATE LIMITED,V Star Creations Private Limited
1112,U92412CH2008PTC031125,K.P.H. DREAM CRICKET PRIVATE. LIMITED.,K.P.H. Dream Cricket Private. Limited.
1113,U93090MH2006PLC164885,CDSL VENTURES LIMITED,Cdsl Ventures Limited
1114,U93090MH2007PTC167523,NEW SILK ROUTE ADVISORS PRIVATE LIMITED,New Silk Route Advisors Private Limited
1115,U93090MH2010PTC208425,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,Clean Max Enviro Energy Solutions Private Limited
1116,U93090TN1930GAP001579,MADRAS CHRISTIAN COLLEGE,Madras Christian College
1117,U93090TN1938GOI000108,UNITED INDIA INSURANCE COMPANY LIMITED,United India Insurance Company Limited
1118,U93090TN1949SGC001458,TAMILNADU INDUSTRIAL INVESTMENT CORPORATION LIMITED,Tamilnadu Industrial Investment Corporation Limited
1119,U93090TN1996PLC034615,SUNDARAM ASSET MANAGEMENT COMPANY LIMITED,Sundaram Asset Management Company Limited
1120,U99999MH1917PLC000478,TATA SONS LIMITED,Tata Sons Limited
1121,U99999MH1919GOI000526,THE NEW INDIA ASSURANCE COMPANY LIMITED,The New India Assurance Company Limited
1122,U99999MH1986PLC040298,SBI CAPITAL MARKETS LIMITED,Sbi Capital Markets Limited
1123,U99999MH1986PLC134021,FERMENTA BIOTECH LIMITED,Fermenta Biotech Limited
1124,U99999MH1994NPL076530,MEDIA RESEARCH USERS COUNCIL,Media Research Users Council
1125,U99999MH2000PLC128245,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,Hdfc Standard Life Insurance Company Limited
1126,U99999MH2000PLC129113,SBI LIFE INSURANCE COMPANY LIMITED,Sbi Life Insurance Company Limited
1127,U99999MH2000PTC128519,UPS JETAIR EXPRESS PRIVATE LIMITED,Ups Jetair Express Private Limited
1128,U99999PB1994PLC014431,KANGARO INDUSTRIES LIMITED,Kangaro Industries Limited
1129,L51909MH1988PLC287553,DISH TV INDIA LIMITED,Dish Tv India Limited
1130,L24299KL1989PLC005452,COCHIN MINERALS AND RUTILE LTD,Cochin Minerals And Rutile Ltd
1131,L50102UP1982PLC015532,PASUPATI ACRYLON LIMITED,Pasupati Acrylon Limited
1132,L23203MH2008PLC267060,GULF OIL LUBRICANTS INDIA LIMITED,Gulf Oil Lubricants India Limited
1133,L99999MH1987PLC044942,SHREE HARI CHEMICALS EXPORT LIMITED,Shree Hari Chemicals Export Limited
1134,L45201GJ2008PLC055771,ARVIND SMARTSPACES LIMITED,Arvind Smartspaces Limited
1135,L15421UP1971PLC003492,K M SUGAR MILLS LIMITED,K M Sugar Mills Limited
1136,L67120DL1993PLC052256,VIRTUAL GLOBAL EDUCATION LIMITED,Global Education Limited
1137,L74210MP1978PLC001452,FLUIDOMAT LIMITED,Fluidomat Limited
1138,L01111KA1988PLC008861,SUNIL AGRO FOODS LIMITED,Il & Fs Education & Technology Services Limited
1139,U65999MH2009FTC189640,VOLKSWAGEN FINANCE PRIVATE LIMITED,Volkswagen Finance Private Limited
1140,L52520MP1986PLC003405,AD- MANUM FINANCE LIMITED,Ad- Manum Finance Limited
1141,U51909MH2009PLC268160,INDOSTAR CAPITAL FINANCE LIMITED,Indostar Capital Finance Limited
1142,L15500MH1981PLC025809,G M BREWERIES LIMITED,G M Breweries Limited
1143,L72300MH2013PLC244874,MAJESCO LIMITED,Majesco Limited
1144,L99999MH1995PLC084618,AGARWAL INDUSTRIAL CORPORATION LIMITED,Agarwal Industrial Corporation Limited
1145,L65990GJ1992PLC017460,ARFIN INDIA LIMITED,Arfin India Limited
1146,U65929KL1987PLC004729,KOSAMATTAM FINANCE LIMITED,Kosamattam Finance Limited
1147,L21016AS2013PLC011624,GREENLAM INDUSTRIES LIMITED,Greenlam Industries Limited
1148,L17110GJ1985PLC008206,VISHAL FABRICS LIMITED,Vishal Fabrics Limited
1149,L18100MH1986PLC040911,PREMCO GLOBAL LIMITED,Premco Global Limited
1150,U65910KL1998PLC012154,MUTHOOTTU MINI FINANCIERS LIMITED,Muthoottu Mini Financiers Limited
1151,L74899DL1995PLC065388,DR. LAL PATHLABS LIMITED,Dr. Lal Pathlabs Limited
1152,L27203GJ1979PLC008050,P G FOILS LIMITED,P G Foils Limited
1153,L67120MH1993PLC070739,CHOKHANI SECURITIES LIMITED,Chokhani Securities Limited
1154,L21010GJ1995PLC025135,SHREE AJIT PULP AND PAPER LIMITED,Shree Ajit Pulp And Paper Limited
1155,L26100GJ1991PLC016173,SWISS GLASCOAT EQUIPMENTS LIMITED,Swiss Glascoat Equipments Limited
1156,L20211CH1991PLC011732,STYLAM INDUSTRIES LIMITED,Stylam Industries Limited
1157,L23209PN1990PLC054829,KESAR PETROPRODUCTS LIMITED,Kesar Petroproducts Limited
1158,L27310GJ1972PLC002033,STEEL CAST LIMITED,Steel Cast Limited
1159,L31900MH2015PLC262254,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,Crompton Greaves Consumer Electricals Limited
1160,L67190MH1995PLC084306,CORAL INDIA FINANCE AND HOUSING LIMITED,Coral India Finance And Housing Limited
1161,L15520WB1989PLC047211,ASSOCIATED ALCOHOLS & BREWERIES LTD.,Associated Alcohols & Breweries Ltd.
1162,L74999AP1992PLC014392,VIRAT CRANE INDUSTRIES LIMITED,Virat Crane Industries Limited
1163,L74210HR1986PLC033018,TALBROS ENGINEERING LIMITED,Talbros Engineering Limited
1164,L74899MH1993PLC274881,A K CAPITAL SERVICES LIMITED,A K Capital Services Limited
1165,L24231TN1990PLC019053,CAPLIN POINT LABORATORIES LIMITED,Caplin Point Laboratories Limited
1166,L17115PB1993PLC013930,BHANDARI HOSIERY EXPORTS LTD,Bhandari Hosiery Exports Ltd
1167,L31401MH2007PLC171844,VETO SWITCHGEARS AND CABLES LIMITED,Veto Switchgears And Cables Limited
1168,U65990MH1994PLC080646,IIFL WEALTH FINANCE LIMITED,Iifl Wealth Finance Limited
1169,L14101RJ1994PLC008930,INANI MARBLES AND INDUSTRIES LTD.,Inani Marbles And Industries Ltd.
1170,L65991DL1990PLC041796,SATIN CREDITCARE NETWORK LIMITED,Satin Creditcare Network Limited
1171,L74899DL1992PLC051462,CSL FINANCE LIMITED,Csl Finance Limited
1172,L17115TZ1988PLC002269,AMBIKA COTTON MILLS LIMITED,Ambika Cotton Mills Limited
1173,L74899DL1985PLC020134,SUBROS LIMITED,Subros Limited
1174,L24100MH1980PLC023177,INDO BORAX & CHEMICALS LIMITED,Indo Borax & Chemicals Limited
1175,L15500WB1997PLC085661,DHUNSERI TEA & INDUSTRIES LIMITED,Dhunseri Tea & Industries Limited
1176,L74899DL1985PLC021445,SELAN EXPLORATION TECHNOLOGY LIMITED,Selan Exploration Technology Limited
1177,L24120MH1990PLC058560,BASANT AGRO TECH (INDIA) LIMITED,Basant Agro Tech (India) Limited
1178,U93090TN1937FLC001429,BARCLAYS INVESTMENTS & LOANS (INDIA) LIMITED.,Barclays Investments & Loans (India) Limited.
1179,L15204PN1992PLC070209,PARAG MILK FOODS LIMITED,Parag Milk Foods Limited
1180,U32104KL1981PLC003348,FCI OEN CONNECTORS LIMITED,Fci Oen Connectors Limited
1181,L55101TN1969PLC005768,SAVERA INDUSTRIES LIMITED,Savera Industries Limited
1182,L29199GJ1984PLC007195,AMRADEEP INDUSTRIES LIMITED,Deep Industries Limited
1183,L67190WB1991PLC050656,SREELEATHERS LIMITED,Sreeleathers Limited
1184,U65100TN2007PLC064069,EQUITAS HOLDINGS LIMITED,Equitas Holdings Limited
1185,U65921DL2010PLC199469,SHUBHAM HOUSING DEVELOPMENT FINANCE COMPANY LIMITED,Shubham Housing Development Finance Company Limited
1186,L34300MH1977PLC019823,MENON PISTONS LIMITED,Menon Pistons Limited
1187,L31300MH1994PLC083244,RISHABHDEV TECHNOCABLE LIMITED,Cable & Wireless Networks India Private Limited
1188,L65910HR1990PLC040431,SRS REAL INFRASTRUCTURE LIMITED,Srs Real Infrastructure Limited
1189,L25209GJ1993PLC019532,RUSHIL DECOR LIMITED,Rushil Decor Limited
1190,L25192MH1981PLC024837,PIX TRANSMISSIONS LTD,Pix Transmissions Ltd
1191,L65921DL1992PLC120483,S. E. INVESTMENTS LIMITED,S. E. Investments Limited
1192,L25119AP1984PLC004719,NILE LIMITED,Nile Limited
1193,L65993WB1985PLC082197,ACME RESOURCES LIMITED,Acme Resources Limited
1194,L25202MP1993PLC034616,FLEXITUFF INTERNATIONAL LIMITED,Flexituff International Limited
1195,L25119KA1975PLC002867,TRITON VALVES LIMITED,Triton Valves Limited
1196,L24294TN1995PLC030586,PONDY OXIDES AND CHEMICALS LIMITED,Pondy Oxides And Chemicals Limited
1197,L15110AP1961PLC000874,CCL PRODUCTS (INDIA) LIMITED,Ccl Products (India) Limited
1198,L18101KL1992PLC006528,KITEX GARMENTS LIMITED,Kitex Garments Limited
1199,L65923DL1985PLC195299,CAPITAL TRUST LIMITED,Capital Trust Limited
1200,L24110GJ1989PLC011989,DYNAMIC INDUSTRIES LIMITED,Dynamic Industries Limited
1201,L72200AP1990PLC011334,AVANTEL LIMITED,Avantel Limited
1202,L51909MH1983PLC166605,SARASWATI COMMERCIAL (INDIA) LTD,Saraswati Commercial (India) Ltd
1203,L36999DL1989PLC034928,FIEM INDUSTRIES LIMITED,Fiem Industries Limited
1204,L15331KL1963PLC002028,KSE LIMITED,Kse Limited
1205,L65920MH1994PLC082992,WALLFORT FINANCIAL SERVICES LIMITED,Wallfort Financial Services Limited
1206,L67190MH2005PLC158288,SHEMAROO ENTERTAINMENT LIMITED,Shemaroo Entertainment Limited
1207,L74899HR1994PLC040440,SRS FINANCE LIMITED.,Srs Finance Limited.
1208,L24110TG1980PLC002633,PREMIER EXPLOSIVES LIMITED,Premier Explosives Limited
1209,L26920MH1986PLC038607,MORGANITE CRUCIBLE (INDIA) LIMITED,Morganite Crucible (India) Limited
1210,L17110GJ1919PLC000495,P B M POLYTEX LIMITED,P B M Polytex Limited
1211,L72200RJ2000PLC016272,CAREER POINT LIMITED,Career Point Limited
1212,U65190MH1992PLC066228,MUTHOOT MICROFIN LIMITED,Muthoot Microfin Limited
1213,U65910DL1986GOI026363,INDIAN RAILWAY FINANCE CORPORATION LIMITED,Indian Railway Finance Corporation Limited
1214,L45200AP1987PLC007228,MANJEERA CONSTRUCTIONS LTD,Manjeera Constructions Ltd
