,0
Ifmr Capital Finance Private Limited,6600000
Deep Industries Limited,6600000
National Insurance Co Ltd,6600000
Globe Fincap Limited.,6600000
Dmi Finance Private Limited,6500000
Voltamp Transformers Limited,6500000
Johnson Matthey Chemicals India Private Limited,6500000
Global Aviation Services Private Limited,6500000
Magma Fincorp Limited,6500000
Curadev Pharma Private Limited,6500000
Wilo Mather And Platt Pumps Private Limited,6400000
Bmc Software India Private Limited,6400000
Goldman Sachs (India) Finance Private Limited,6400000
Sukhjit Starch And Chemicals Ltd,6400000
Aviva Life Insurance Company India Ltd,6300000
Xilinx India Technology Services Private  Limited,6300000
Riviera Home Furnishings Private Limited,6300000
Bajaj Sevashram Private Limited,6200000
The Karur Vysya Bank Limited,6200000
Kirloskar Industries Limited,6100000
Technip India Limited,6100000
Ultimate Flexipack Limited,6000000
Thirumalai Chemicals Limited,6000000
Inductotherm (India) Private Limited,6000000
India Ratings And Research Private Limited,6000000
Kse Limited,6000000
Sasken Technologies Limited,6000000
Savery Transport Finance Limited,6000000
Ariba Technologies India Private Limited,6000000
Ups Jetair Express Private Limited,6000000
Kuantum Papers Limited,6000000
L&T; Infra Debt Fund Limited,6000000
Godavari Biorefineries Limited,6000000
Dee Development Engineers Limited,5900000
Jay Bharat Maruti Limited,5900000
Acg Pharmapack Private Limited,5900000
Power High Engineers Private Limited,5900000
Paranjape Autocast Private Limited,5900000
Here Solutions India Private Limited,5900000
Piaggio Vehicles Private Limited,5800000
Vulkan Technologies Private Limited,5800000
Dharampal Satyapal Sons Private Limited,5800000
Motilal Oswal Financial Services Limited,5800000
Nyk Line (India) Private Limited,5800000
Bengal Nri Complex Ltd.,5800000
Checkmate Services Private Limited,5800000
Jbm Auto Limited,5800000
East India Petroleum Private Limited,5800000
Indusind Bank Ltd.,5800000
Wiley India Private Limited.,5700000
Poddar Tyres Limited,5700000
Manchukonda Prakasham Industries India Private Limited,5700000
Kaleesuwari Refinery Private Limited,5700000
Agarwal Coal Corporation Private Limited,5700000
Bisleri International Private Limited,5700000
Saregama India Limited,5700000
Dymos Lear Automotive India Private Limited,5600000
Broadridge Financial Solutions (India) Private Limited,5600000
Jsw Holdings Limited,5600000
Fanuc India Private Limited,5600000
Balasore Alloys Limited,5600000
Surya Vidyut Limited,5500000
Lord India Private Limited,5500000
Ccl Products (India) Limited,5500000
Mphasis Limited,5500000
Merino Panel Products Ltd,5500000
Abi-Showatech (India) Limited,5500000
Principal Global Services Private Limited,5500000
Sqs India Bfsi Limited,5500000
Eicl Limited,5500000
Paul Merchants Limited,5400000
Al-Hamd Agro Food Products Private Limited,5300000
Fortune Stones Limited,5300000
Reservation Data Maintainence (India) Private Limited,5300000
Winsome Textile Industries Limited,5300000
Jm Financial Asset Management Limited,5200000
Avalokiteshvar Valinv Limited,5200000
Minda Sai Limited,5200000
Gsp Crop Science Private Limited,5200000
Rajasthan Prime Steel Processing Center Private Limited,5200000
Lanco Anpara Power Limited,5200000
Valeo Friction Materials India Private Limited,5200000
Metrohm India Limited,5100000
Nanu Estates Private Limited,5100000
Mayur Uniquoters Limited,5100000
Sundaram Asset Management Company Limited,5100000
Federal-Mogul Tpr (India) Limited,5100000
Adventz Finance Private Limited,5100000
United India Insurance Company Limited,5100000
Sree Rayalaseema Alkalies And Allied Chemicals Ltd,5100000
Narayanpur Power Company Private Limited,5000000
Sbi Capital Markets Limited,5000000
Engineering And Agencies Pvt Ltd,5000000
Kunkel Wagner (India) Pvt Ltd,5000000
Experis It Private Limited,5000000
Ginni International Ltd. (Transfer From Delhi To Raj.),5000000
Propellum Infotech Private Limited,5000000
Vardhman Holdings Limited,5000000
Bmw Industries Limited,5000000
Standard Chartered Investments And Loans  (India) Limited,5000000
Oscar Investments Limited,5000000
Amnet Systems Private Limited,5000000
Jm Financial Services Limited,5000000
Winro Commercial (India) Ltd,5000000
Mapaex Remedies Private Limited,5000000
Agappe Diagnostics Limited,4900000
Bt Global Communications India Private Limited,4800000
Suraksha Diagnostic Private Limited,4800000
Chevron Phillips Chemicals India Private  Limited,4800000
Rajasthan Knowledge Corporation Limited,4800000
Bitwise Solutions Private Limited,4800000
C R I Pumps Private Limited,4700000
Sri Sarvaraya Sugars Limited,4700000
Vibracoustic India Private Limited,4700000
Il&Fs; Tamil Nadu Power Company Limited,4700000
Morarjee Textiles Limited,4700000
Head Infotech India Pvt Ltd,4700000
Madras Christian College,4700000
Infocepts Technologies Private Limited,4700000
Globeop Financial Services Technologies (India) Private Limited,4600000
Tamil Nadu Road Development Company Limited,4600000
Vireet Investments Private Limited,4600000
Vikram Solar Limited,4600000
Ginni Filaments Limited.,4600000
Balajee Education Private Limited,4600000
Crescent Power Limited,4600000
Madras Engineering Industries Private Limited,4600000
Amrutanjan Health Care Limited,4600000
Second Vivekananda Bridge Tollway Company Private Limited,4500000
Il & Fs Education & Technology Services Limited,4500000
Martin And Harris Laboratories Limited,4500000
Nila Infrastructures Limited,4500000
Max India Limited,4500000
Bagzone Lifestyles Private Limited,4500000
Associated Stone Industries (Kotah) Limited,4400000
Wonderla Holidays Limited,4400000
Aspire Home Finance Corporation Limited,4400000
Universal Medicap Limited,4400000
S. Vinodkumar Diamonds Private Limited,4400000
Usha Breco Limited,4400000
Ferro Alloys Corporation Limited,4400000
Solvay Specialities India Private Limited,4400000
Facebook India Online Services Private Limited,4400000
West Bengalstate Electricity Distribution Company Limited,4300000
Munjal Showa Limited,4300000
Julius Baer Capital (India) Private Limited,4300000
Mitsubishi Elevator India Private Limited,4300000
Super Sales India Limited,4300000
Uni Klinger Limited,4300000
Pegasus Assets Reconstruction Private Limited,4300000
Dhunseri Tea & Industries Limited,4300000
Alicon Castalloy Limited,4300000
Munjal Auto Industries Limited,4300000
Panasonic Energy India Company Limited,4300000
L.S. Mills Limited,4300000
T-3 Energy Services India Private Limited,4300000
Darcl Logistics Limited,4300000
Om Telecom Logistics Private Limited,4300000
Chowdry Associates,4200000
Meenakshi Mercantiles Ltd,4200000
Ambit Private Limited,4200000
Hsbc Investdirect Financial Services (India) Limited,4200000
Choksi Heraeus Private Limited,4200000
Roots Multi Clean Limited,4200000
Pasupati Acrylon Limited,4200000
Sat Kaival Hospital Private Limited,4200000
Faurecia Interior Systems India Private Limited,4200000
Punjab Chemicals And Crop Protection Limited,4200000
Chemfab Alkalis Limited,4200000
Banswara Syntex Ltd,4200000
Automobile Corporation Of Goa Limited,4100000
