,CIN,name_x,name_y
50,L17120MH1871PLC000005,PENINSULA LAND LIMITED,Peninsula Land Limited
51,L17120MH1879PLC000037,THE BOMBAY DYEING AND MANUFACTURING COMPANY LIMITED,The Bombay Dyeing And Manufacturing Company Limited
52,L17124MH1986PLC166615,INDO RAMA SYNTHETICS (INDIA) LIMITED,Indo Rama Synthetics (India) Limited
53,L17124MP1989PLC008255,MARAL OVERSEAS LIMITED,Maral Overseas Limited
54,L17229UP1994PLC017199,J. K. CEMENT LIMITED.,J. K. Cement Limited.
55,L17299GJ1972PLC011626,CAMPHOR AND ALLIED PRODUCTS LTD,Camphor And Allied Products Ltd
56,L17299WB1993PLC058969,DOLLAR INDUSTRIES LIMITED,Dollar Industries Limited
57,L18100AP1992PLC013860,KALLAM SPINNING MILLS LIMITED,Kallam Spinning Mills Ltd
58,L18101DL1970PLC005197,SRF LIMITED,Srf Limited
59,L18101MH1992PLC065136,KEWAL KIRAN CLOTHING LIMITED,Kewal Kiran Clothing Limited
60,L18101RJ1992PLC006952,MAYUR UNIQUOTERS LIMITED,Mayur Uniquoters Limited
61,L19201HR1986PLC033185,LIBERTY SHOES LIMITED,Liberty Shoes Limited
62,L20211AS1990PLC003484,GREENPLY INDUSTRIES LTD,Greenply Industries Ltd
63,L21010MH1945PLC010337,BALLARPUR INDUSTRIES LIMITED,Ballarpur Industries Limited
64,L21010MH1992PLC069527,METROGLOBAL LIMITED,Metroglobal Limited
65,L21012KL1991PLC006207,SREE SAKTHI PAPER MILLS LIMITED,Sree Sakthi Paper Mills Limited
66,L21012MH1964PLC013058,PUDUMJEE PULP AND PAPER MILLS LIMITED,Pudumjee Pulp And Paper Mills Limited
67,L21012PB1980PLC004329,SATIA INDUSTRIES LIMITED,Satia Industries Limited
68,L21012PB1997PLC035243,KUANTUM PAPERS LIMITED,Kuantum Papers Limited
69,L21090BR1918PLC000013,HINDUSTAN MEDIA VENTURES LIMITED,Hindustan Media Ventures Limited
70,L21098UP2012PLC048300,GENUS PAPER & BOARDS LIMITED,Genus Paper & Boards Limited
71,L21300WB1973PLC028854,INTERNATIONAL CONVEYORS LTD.,International Conveyors Ltd.
72,L22121DL2002PLC117874,HT MEDIA LIMITED,Ht Media Limited
73,L22200MH1984PLC034055,NAVNEET EDUCATION LIMITED,Navneet Education Limited
74,L22210MH1987PLC044505,TCPL PACKAGING LIMITED,Tcpl Packaging Limited
75,L22210MH1995PLC084781,TATA CONSULTANCY SERVICES LIMITED,Tata Consultancy Services Limited
76,L22213WB1946PLC014346,SAREGAMA INDIA LIMITED,Saregama India Limited
77,L23109MP1972PLC008290,HEG LIMITED,Heg Limited
78,L23109WB1973GOI028844,COAL INDIA LIMITED GOVT OF INDIA UNDERTAKING,Coal India Ltd Govt Of India Undertaking
79,L23209GJ1982PLC005062,PANAMA PETROCHEM LIMITED,Panama Petrochem Limited
80,L24100MH1960PLC011681,DAI-ICHI KARKARIA LIMITED,Dai-Ichi Karkaria Limited
81,L24110AP1981PLC003077,SREE RAYALASEEMA ALKALIES AND ALLIED CHEMICALS LTD,Sree Rayalaseema Alkalies And Allied Chemicals Ltd
82,L24110GJ1973PLC002247,GUJARAT ALKALIES AND CHEMICALS LIMITED,Gujarat Alkalies And Chemicals Limited
83,L24110GJ1986PLC009003,BODAL CHEMICALS LIMITED,Bodal Chemicals Limited
84,L24110MH1978GOI020185,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,Rashtriya Chemicals And Fertilizers Limited
85,L24110MH1998PLC115499,NAVIN FLUORINE INTERNATIONAL LIMITED,Navin Fluorine International Limited
86,L24110TG1989PLC009713,SUVEN LIFE SCIENCES LIMITED,Suven Life Sciences Limited
87,L24110TG1991PLC012471,GRANULES INDIA LIMITED,Granules India Limited
88,L24110WB1960PLC024910,KANORIA CHEMICALS & INDUSTRIES LTD,Kanoria Chemicals & Industries Ltd
89,L24111MP1961PLC016023,NARMADA GELATINES LIMITED,Narmada Gelatines Limited
90,L24112PB1981PLC031099,OSWAL GREENTECH LIMITED,Oswal Greentech Limited
91,L24116AS1971SGC001339,ASSAM PETRO CHEMICALS LTD,Assam Petro Chemicals Ltd
92,L24117TN1976PLC007122,SHASUN PHARMACEUTICALS LIMITED,Shasun Pharmaceuticals Limited
93,L24118MH1976PLC136836,ANIK INDUSTRIES LIMITED,Anik Industries Limited
94,L24121MH1979PLC021360,DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LTD,Deepak Fertilisers And Petrochemicals Corporation
95,L24132MP1996PLC011245,KRITI NUTRIENTS LIMITED,Kriti Nutrients Limited
96,L24133MH1996PLC197857,INTRASOFT TECHNOLOGIES LIMITED,Intrasoft Technologies Limited
97,L24200MH1947PLC006104,NOVARTIS INDIA LIMITED,Novartis India Limited
98,L24200MH1960PLC011807,EXCEL INDUSTRIES LIMITED,Excel Industries Limited
99,L24200MH1988PTC048028,HIKAL LIMITED,Hikal Limited
100,L24210MH1958PLC011173,BAYER CROPSCIENCE LIMITED,Bayer Cropscience Limited
101,L24211TN1975PLC006989,E.I.D PARRY (INDIA) LIMITED,E.I.D Parry (India) Limited
102,L24219GJ1985PLC025132,UPL LIMITED,Upl Limited
103,L24222PN1956PLC134746,ELANTAS BECK INDIA LIMITED,Elantas Beck India Limited
104,L24222WB1902PLC001540,SHALIMAR PAINTS LTD,Shalimar Paints Ltd
105,L24230GJ1972PLC002126,TORRENT PHARMACEUTICALS LTD,Torrent Pharmaceuticals Ltd
106,L24230GJ1983PLC006329,DISHMAN PHARMACEUTICALS AND CHEMICALS LIMITED,Dishman Pharmaceuticals And Chemicals Limited
107,L24230GJ1993PLC019050,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Sun Pharmaceutical Industries Limited
108,L24230GJ1995PLC025878,CADILA HEALTHCARE LIMITED,Cadila Healthcare Limited
109,L24230MH1990PLC057062,STRIDES ARCOLAB LIMITED,Strides Shasun Limited
110,L24230TG1981PLC003201,NATCO PHARMA LIMITED,Natco Pharma Limited
111,L24231TN1936PLC000017,AMRUTANJAN HEALTH CARE LIMITED,Amrutanjan Health Care Limited
112,L24231TN1958PLC003647,TTK HEALTHCARE LIMITED,Ttk Healthcare Limited
113,L24231UP1980PLC004910,SUPERHOUSE LIMITED,Superhouse Limited
114,L24232PB1995PLC016664,NECTAR LIFE SCIENCES LIMITED,Nectar Life Sciences Limited
115,L24234KA1978PLC003417,BIOCON LIMITED,Biocon Limited
116,L24239MH1940PLC003176,FDC LIMITED,Fdc Limited
117,L24239MH1944PLC007330,ABBOTT INDIA LIMITED,Abbott India Limited
118,L24239MH1964PLC012971,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,Procter & Gamble Hygiene And Health Care Limited
119,L24239TG1986PLC015190,AUROBINDO PHARMA LTD,Aurobindo Pharma Ltd
120,L24240MH1952PLC008951,TRENT LIMITED,Trent Limited
121,L24246MH2000PLC129806,GODREJ CONSUMER PRODUCTS LIMITED,Godrej Consumer Products Limited
122,L24292TG1961PLC000876,GULF OIL CORPORATION LIMITED,Gocl Corporation Limited
123,L24292WB1954PLC021516,AKZO NOBEL INDIA LIMITED,Akzo Nobel India Limited
124,L24294PN1958PLC011052,FOSECO INDIA LIMITED,Foseco India Limited
125,L24294TN1986PLC013087,MANALI PETROCHEMICALS LIMITED,Manali Petrochemicals Limited
126,L24297TN1983PLC072409,CHEMFAB ALKALIS LIMITED,Chemfab Alkalis Limited
127,L24302RJ1976PLC001684,BANSWARA SYNTEX LTD,Banswara Syntex Ltd
128,L24304PN1965PLC139075,CENTURY ENKA LIMITED,Century Enka Limited
129,L24305RJ1986PLC016132,AKSH OPTIFIBRE LIMITED,Aksh Optifibre Limited
130,L24390MH1976PLC019380,J B CHEMICALS AND PHARMACEUTICALS LIMITED,J B Chemicals And Pharmaceuticals Limited
131,L25111TN1982PLC009414,TVS SRICHAKRA LIMITED,Tvs Srichakra Limited
132,L25119TZ2006PLC013144,ELGI RUBBER COMPANY LIMITED,Elgi Rubber Company Limited
133,L25200GJ1996PLC029134,ASTRAL POLY TECHNIK LIMITED,Astral Poly Technik Limited
134,L25200MH1968PLC013914,V I P INDUSTRIES LIMITED,V I P Industries Limited
135,L25200MH1981PLC025731,EPC INDUSTRIE LIMITED,Epc Industrie Limited
136,L25200MH1991PLC059943,PLASTIBLENDS INDIA LIMITED,Plastiblends India Limited
137,L25206MP1990PLC005732,KRITI INDUSTRIES (INDIA)LIMITED,Kriti Industries (India)Limited
138,L25209MH1976PLC018939,GARWARE WALL ROPES LIMITED,Garware Wall Ropes Limited
139,L25209PN1961PLC012046,BHARAT FORGE LTD,Bharat Forge Ltd
140,L25209UP1971PLC003444,KANPUR PLASTIPACK LIMITED,Kanpur Plastipack Limited
141,L26101MH1973PLC018367,SAINT-GOBAIN SEKURIT INDIA LIMITED,Saint-Gobain Sekurit India Limited
142,L26101WB1987PLC042512,LA OPALA R G LIMITED,La Opala R G Limited
143,L26910GJ1998PLC034400,CERA SANITARYWARE LIMITED,Cera Sanitaryware Limited
144,L26914MH1987PLC042283,ACRYSIL LIMITED,Acrysil Limited
145,L26941UP1983PLC027278,RADICO KHAITAN LIMITED,Radico Khaitan Limited
146,L26943RJ1979PLC001935,SHREE CEMENT LIMITED,Shree Cement Limited
147,L26943TN1965PLC005297,RAMCO INDUSTRIES LIMITED,Ramco Industries Limited
148,L27100GJ1986PLC009212,RAJOO ENGINEERS LIMITED,Rajoo Engineers Limited
149,L27100MH1973PLC016617,SARDA ENERGY & MINERALS LIMITED,Sarda Energy & Minerals Limited
150,L27100MH1984PLC034003,SUNFLAG IRON AND STEEL CO LTD,Sunflag Iron And Steel Co Ltd
151,L27100MH1985PLC140379,NATIONAL STEEL AND AGRO INDUSTRIES LIMITED,National Steel And Agro Industries Limited
152,L27100MH1999PLC121285,MAHINDRA CIE AUTOMOTIVE LIMITED,Mahindra Cie Automotive Limited
153,L27101OR1984PLC001354,BALASORE ALLOYS LIMITED,Balasore Alloys Limited
154,L27101PN1985PLC038031,PRAJ INDUSTRIES LIMITED,Praj Industries Limited
155,L27101PN1991PLC063223,KIRLOSKAR FERROUS INDUSTRIES LTD,Kirloskar Ferrous Industries Ltd
156,L27101WB1985PLC039503,MAITHAN ALLOYS LTD.,Maithan Alloys Ltd.
157,L27102MH1994PLC152925,JSW STEEL LIMITED,Jsw Steel Limited
158,L27102OR1982PLC001091,TATA SPONGE IRON LIMITED,Tata Sponge Iron Limited
159,L27104UP1984PLC023979,JINDAL SAW LIMITED,Jindal Saw Limited
160,L27106CT1999PLC013756,GODAWARI POWER AND ISPAT LIMITED,Godawari Power And Ispat Limited
161,L27107PB1985PLC006159,STEEL STRIPS WHEELS LTD,Steel Strips Wheels Ltd
162,L27109AP1975PLC001919,PENNAR INDUSTRIES LIMITED,Pennar Industries Limited
163,L27109KA1964PLC001546,KENNAMETAL INDIA LIMITED,Kennametal India Limited
164,L27109UP1963PLC002931,PTC INDUSTRIES LIMITED,Ptc Industries Limited
165,L27201WB1967GOI028825,HINDUSTAN COPPER LIMITED,Hindustan Copper Ltd
166,L27203RJ1971PLC003414,OM METALS INFRAPROJECTS LIMITED,Om Metals Infraprojects Limited
167,L27310TG1985PLC005423,SAMKRG PISTONS AND RINGS LIMITED,Samkrg Pistons And Rings Limited
168,L28113DL2010PLC210819,ORIENT REFRACTORIES LIMITED,Orient Refractories Limited
169,L28900MH1982PLC028535,KABRA EXTRUSION TECHNIK LIMITED,Kabra Extrusion Technik Ltd
170,L28990AP1978PLC002260,JOCIL LIMITED,Jocil Limited
171,L28991UP1975PLC004152,ROTO PUMPS LIMITED,Roto Pumps Limited
172,L29110UP1995PLC041834,TRIVENI TURBINE LIMITED,Triveni Turbine Limited
173,L29112PN1962PLC012276,CUMMINS INDIA LIMITED,Cummins India Limited
174,L29112PN1978PLC088972,KIRLOSKAR INDUSTRIES LIMITED,Kirloskar Industries Limited
175,L29113PN1920PLC000670,KIRLOSKAR BROTHERS LIMITED,Kirloskar Brothers Limited
176,L29120MH2005PLC156795,CAPITAL FIRST LIMITED,Capital First Limited
177,L29120TZ1960PLC000351,ELGI EQUIPMENTS LIMITED,Elgi Equipments Limited
178,L29130MH1961PLC012028,ABC BEARINGS LIMITED,Abc Bearings Limited
179,L29130MH1965PLC013251,NRB BEARINGS LIMITED (FULL FLEDGED PUBLIC CO),Nrb Bearings Limited (Full Fledged Public Co)
180,L29130PN1991PLC062352,MENON BEARINGS LIMITED,Menon Bearings Limited
181,L29130TN1961PLC004466,BIMETAL BEARINGS LIMITED,Bimetal Bearings Limited
182,L29142TN1992PLC021997,IGARASHI MOTORS INDIA LIMITED,Igarashi Motors India Limited
183,L29199GJ1974PLC002574,EIMCO ELECON (INDIA ) LIMITED,Eimco Elecon (India ) Limited
184,L29199HR1956PLC033107,TALBROS AUTOMOTIVE COMPONENTS LIMITED,Talbros Automotive Components Limited
185,L29219WB1985PLC055352,SREI INFRASTRUCTURE FINANCE LIMITED,Srei Infrastructure Finance Limited
186,L29253TG1983PLC004141,PITTI LAMINATIONS LIMITED,Pitti Laminations Limited
187,L29259GJ1960PLC001082,ELECON ENGINEERING COMPANY LIMITED,Elecon Engineering Company Limited
188,L29265WB1957PLC023379,WIRES AND FABRIKS (SA) LTD,Wires And Fabriks (Sa) Ltd
189,L29269TZ1962PLC000463,LAKSHMI MACHINE WORKS LIMITED,Lakshmi Machine Works Limited
190,L29299PN1980PLC022787,THERMAX LIMITED.,Thermax Limited.
191,L29299TN1987PLC058738,ESAB INDIA LIMITED,Esab India Limited
192,L29300GJ1984PLC007470,HITACHI HOME AND LIFE SOLUTIONS (INDIA ) LIMITED,Hitachi Home And Life Solutions (India ) Limited
193,L29308MH1954PLC009371,VOLTAS LIMITED,Voltas Limited
194,L29309TG1986PLC006714,SUJANA UNIVERSAL INDUSTRIES LIMITED,Sujana Universal Industries Limited
195,L30007KA1992PLC025294,MPHASIS LIMITED,Mphasis Limited
196,L31100GJ1967PLC001437,VOLTAMP TRANSFORMERS LIMITED,Voltamp Transformers Limited
197,L31102DL1957PLC193993,ALSTOM T AND D INDIA LIMITED,Alstom T & D India Limited
198,L31102MH1964PLC013011,EMCO LIMITED,Emco Limited
199,L31103TZ1990PLC002836,MAGNA ELECTRO CASTINGS LIMITED,Magna Electro Castings Limited
200,L31200GJ2004PLC044068,TORRENT POWER LIMITED,Torrent Power Limited
201,L31300DL1959PLC003141,HINDUSTHAN URBAN INFRASTRUCTURE LIMITED,Hindusthan Urban Infrastructure Limited
202,L31300MP1983PLC002134,VINDHYA TELELINKS LIMITED,Vindhya Telelinks Limited
203,L31300MP1992PLC007190,BIRLA ERICSSON OPTICAL LIMITED,Birla Ericsson Optical Limited
204,L31400GJ1972PLC002091,PANASONIC ENERGY INDIA COMPANY LIMITED,Panasonic Energy India Company Limited
205,L31402WB1947PLC014919,EXIDE INDUSTRIES LIMITED,Exide Industries Limited
206,L31500MH1938PLC009887,BAJAJ ELECTRICALS LIMITED,Bajaj Electricals Limited
207,L31500UP1991PLC012944,PHOENIX LAMPS LIMITED,Phoenix Lamps Limited
208,L31900DL1983PLC016304,HAVELLS INDIA LIMITED,Havells India Limited
209,L31901WB1978PLC031411,CESC LTD,Cesc Ltd
210,L31909MH1981PLC025519,LUMAX AUTO TECHNOLOGIES LIMITED,Lumax Auto Technologies Limited
211,L31909TN1972PLC006196,INDO- NATIONAL LIMITED,Indo- National Limited
212,L33121GJ1994PLC022460,TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,Transformers And Rectifiers (India) Limited
213,L34101HR1985PLC020934,MUNJAL SHOWA LIMITED,Munjal Showa Limited
214,L34101PN1961PLC015735,GABRIEL INDIA LIMITED,Gabriel India Limited
215,L34300DL2005PLC139163,SHIVAM AUTOTECH LIMITED,Shivam Autotech Limited
216,L35920MH1942PLC003554,THE SUPREME INDUSTRIES LIMITED,The Supreme Industries Limited
217,L35999TN1962PLC004792,SUNDARAM -CLAYTON LIMITED,Sundaram -Clayton Limited
218,L35999TN1962PLC004943,SUNDRAM FASTENERS LIMITED,Sundram Fasteners Limited
219,L36911KA1995PLC017077,RAJESH EXPORTS LIMITED,Rajesh Exports Limited
220,L36911RJ1989PLC004945,VAIBHAV GLOBAL LIMITED,Vaibhav Global Limited
221,L36912WB1936PLC008588,INTERNATIONAL COMBUSTION (INDIA) LTD,International Combustion (India) Ltd
222,L36991WB1994PLC065583,LINC PEN AND PLASTICS LIMITED,Linc Pen & Plastics Ltd
223,L36999HR1990PLC041175,ARCHIES LIMITED,Archies Limited
224,L36999KA1999PLC025195,UNITED BREWERIES LIMITED,United Breweries Limited
225,L40100GJ1981PLC004281,KALPATARU POWER TRANSMISSION LIMITED,Kalpataru Power Transmission Limited
226,L40101DL1969GOI005095,RURAL ELECTRIFICATION CORPORATION LIMITED,Rural Electrification Corporation Limited
227,L40101DL1975GOI007966,NTPC LIMITED,Ntpc Limited
228,L40101DL1989GOI038121,POWER GRID CORPORATION OF INDIA LIMITED,Power Grid Corporation Of India Limited
229,L40101HP1994PLC015483,JAIPRAKASH POWER VENTURES LIMITED,Jaiprakash Power Ventures Limited
230,L40101MH1995PLC084687,RELIANCE POWER LIMITED,Reliance Power Limited
231,L40108PN1981PLC024153,FINOLEX INDUSTRIES LIMITED,Finolex Industries Limited
232,L40200GJ1998SGC035188,GUJARAT STATE PETRONET LIMITED,Gujarat State Petronet Limited
233,L45101DL1967PLC004759,ANSAL PROPERTIES AND INFRASTRUCTURE LIMITED,Ansal Properties And Infrastructure Limited
234,L45101DL2006PLC148314,INDIABULLS REAL ESTATE LIMITED,Indiabulls Real Estate Limited
235,L45200GJ1988PLC011049,SUMEET INDUSTRIES LIMITED,Sumeet Industries Limited
236,L45200GJ1991PLC015817,GANESH HOUSING CORPORATION LIMITED,Ganesh Housing Corporation Limited
237,L45200KA1986PLC051571,PURAVANKARA PROJECTS LIMITED,Puravankara Projects Limited
238,L45200MH1989PLC050688,HUBTOWN LIMITED,Hubtown Limited
239,L45200MH2005PLC152061,KEC INTERNATIONAL LIMITED,Kec International Limited
240,L45201DL1983PLC016821,ANSAL HOUSING AND CONSTRUCTION LIMITED,Ansal Housing And Construction Limited
241,L45201DL1983PLC017225,ANSAL BUILDWELL LIMITED,Ansal Buildwell Limited
242,L45202PB2006PLC029968,NAHAR CAPITAL AND FINANCIAL SERVICES LIMITED,Nahar Capital And Financial Services Limited
243,L45203MH2008PLC178061,KESAR TERMINALS & INFRASTRUCTURE LIMITED,Kesar Terminals & Infrastructure Limited
244,L45204AP2001PLC057199,KSK ENERGY VENTURES LIMITED,Sk E&C; India Private Limited
245,L45205TN1995PLC030231,VA TECH WABAG LIMITED,Va Tech Wabag Limited
246,L51100GJ1993PLC019067,ADANI ENTERPRISES LIMITED,Adani Enterprises Limited
247,L51109UP1987PLC009090,GANESHA ECOSPHERE LIMITED,Ganesha Ecosphere Limited
248,L51109WB1974PLC029637,IFB INDUSTRIES LTD,Ifb Industries Ltd
249,L51109WB1981PLC034212,BMW INDUSTRIES LIMITED,Bmw Industries Limited
250,L51226MH1983PLC165499,WINRO COMMERCIAL (INDIA) LTD,Winro Commercial (India) Ltd
251,L51491PB1990PLC019212,VARDHMAN ACRYLICS LIMITED,Vardhman Acrylics Limited
252,L51496GA1988PLC000915,I G PETROCHEMICALS LIMITED,I G Petrochemicals Limited
253,L51504WB1978PLC031813,MAGMA FINCORP LIMITED,Magma Fincorp Limited
254,L51900MH1985PLC036896,HINDUJA VENTURES LIMITED,Hinduja Ventures Limited
255,L51909DL1963GOI004033,MMTC LIMITED,Mmtc Limited
256,L51909GJ1994PLC022719,NANDAN DENIM LIMITED,Nandan Denim Limited
257,L51909MH1982PLC143066,PODDAR DEVELOPERS LIMITED,Poddar Housing And Development Limited
258,L51909UP1992PLC051997,GENUS POWER INFRASTRUCTURES LIMITED,Genus Power Infrastructures Limited
259,L52190DL2005PLC181536,STORE ONE RETAIL INDIA LIMITED,Store One Retail India Limited
260,L52322MH1995PLC090643,MORARJEE TEXTILES LIMITED,Morarjee Textiles Limited
261,L55100GJ1999PLC036830,TGB BANQUETS AND HOTELS LIMITED,Tgb Banquets And Hotels Limited
262,L55101DL1980PLC011037,ASIAN HOTELS (NORTH) LIMITED,Asian Hotels (North) Limited
263,L55101DL2007PLC157518,ASIAN HOTELS (WEST) LIMITED,Asian Hotels (West) Limited
264,L55101KA1979PLC003620,MAC CHARLES (INDIA) LIMITED,Mac Charles (India) Limited
265,L63010GJ1992PLC018106,GUJARAT PIPAVAV PORT LIMITED,Gujarat Pipavav Port Limited
266,L63010MH2004PLC073508,ALLCARGO LOGISTICS LIMITED,Allcargo Logistics Limited
267,L63011DL1988GOI030915,CONTAINER CORPORATION OF INDIA LIMITED,Container Corporation Of India Limited
268,L63011TG1995PLC020121,GATI LIMITED,Gati Limited
269,L64202TN1998PLC066604,SQS INDIA BFSI LIMITED,Sqs India Bfsi Limited
270,L65110GJ1993PLC020769,AXIS BANK LIMITED,Axis Bank Limited
271,L65110JK1938SGC000048,JAMMU AND KASHMIR BANK LIMITED,Jammu And Kashmir Bank Limited
272,L65110MH1985PLC038137,KOTAK MAHINDRA BANK LIMITED,Kotak Mahindra Bank Limited
273,L65190GJ1994PLC021012,ICICI BANK LIMITED,Icici Bank Limited
274,L65191KL1929PLC001017,THE SOUTH INDIAN BANK LIMITED,The South Indian Bank Limited
275,L65191PN1994PLC076333,INDUSIND BANK LIMITED,Indusind Bank Ltd.
276,L65191TN1954PLC002429,SUNDARAM FINANCE LIMITED,Sundaram Finance Limited
277,L65191TN1979PLC007874,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,Shriram Transport Finance Company Limited
278,L65191TN1986PLC012840,SHRIRAM CITY UNION FINANCE LIMITED,Shriram City Union Finance Limited
279,L65191TN1997PLC037415,IDFC LIMITED,Idfc Limited
280,L65910DL1986GOI024862,POWER FINANCE CORPORATION LIMITED,Power Finance Corporation Limited
281,L65910DL1989PLC034812,TOURISM FINANCE CORPORATION OF INDIA LIMITED,Tourism Finance Corporation Of India Limited
282,L65910GJ1995PLC024091,TIRUPATI SARJAN LIMITED,Tirupati Sarjan Limited
283,L65910KL1992PLC006623,MANAPPURAM FINANCE LIMITED,Manappuram Finance Limited
284,L65910KL1997PLC011300,MUTHOOT FINANCE LIMITED,Muthoot Finance Limited
285,L65910MH1983PLC030083,SATRA PROPERTIES (INDIA) LIMITED,Satra Properties (India) Limited
286,L65910MH1987PLC042961,BAJAJ FINANCE LIMITED,Bajaj Finance Limited
287,L65910TG1973PLC031293,TCI FINANCE LIMITED,Tci Finance Limited
288,L65921MH1991PLC059642,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,Mahindra And Mahindra Financial Services Limited
289,L65921TN1985PLC049092,LANCOR HOLDINGS LIMITED,Lancor Holdings Limited
