,name,CIN,NIC,amount
168,Baazar Retail Limited,U51311WB1998PLC087828,,1707200
169,Baba Global Limited.,U74899DL1998PLC092459,74.0,1600000
170,Bachhraj And Company Private Limited,U18101MH1927PTC001298,14.0,9000000
171,Bachhraj Factories Private Limited,U17120MH1926PTC001265,13.0,600000
172,Bae Systems India (Services) Private Limited,U74900DL2009PTC188515,74.0,1190424
173,Bageecha Glades Private Limited,U01122MH1997PTC108283,,1800000
174,Bahadur Chand Investments Private Limited,U65921PB1979PTC004037,64.0,21000000
175,Bajaj Auto Limited.,L65993PN2007PLC130076,65.0,188000000
176,Bajaj Electricals Limited,L31500MH1938PLC009887,31.0,95000
177,Bajaj Energy Limited,U40102UP2008PLC046764,,12800000
178,Bajaj Finance Limited,L65910MH1987PLC042961,64.0,5000000
179,Bajaj Motors Limited,U34103HR1986PLC024875,29.0,720851
180,Bajaj Resources Limited,U24100DL1940PLC273610,,14000000
181,Bajaj Sevashram Private Limited,U24239MH1953PTC029952,21.0,2500000
182,Balasore Alloys Limited,L27101OR1984PLC001354,27.0,1987064
183,Balkrishna Industries Limited,L99999MH1961PLC012185,99.0,7500000
184,Ballarpur Industries Limited,L21010MH1945PLC010337,17.0,2800000
185,Bannari Amman Spinning Mills Limited,L17111TZ1989PLC002476,17.0,919848
186,Banswara Syntex Ltd,L24302RJ1976PLC001684,20.0,1038000
187,Baramati Agro Limited,U01134PN1988PLC045873,,5000000
188,Baramati Cattlefeeds Pvt Ltd,U01211MH1993PTC072806,,300000
189,Barbrik Project Limited,U70101CT2008PLC020626,,153500
190,Bas Engineering Private Limited,U72200DL1997PTC087067,,0
191,Base Educational Services Private Limited,U80301KA2007PTC044771,,1200000
192,Bayer Cropscience Limited,L24210MH1958PLC011173,20.0,26480000
193,Bbl Daido Private Limited,U34300TN2001PTC048109,29.0,8000000
194,Beam Global Spirits & Wine (India) Private Limited,U73100DL1991PTC046606,,1173000
195,Beardsell Limited,L65991TN1936PLC001428,65.0,0
196,Bebitz Flanges Works Private Limited,U28939MH2004PTC149545,28.0,2117308
197,Bechtel India Private Limited,U74899DL1994FTC058514,,584640
198,Beehive Communications Private Limited,U74300MH2003PTC140136,73.0,625000
199,Bellflower Properties Private Limited,U70102PN2007PTC129659,70.0,0
200,Bennett Coleman And Company Limited,U22120MH1913PLC000391,58.0,55000000
201,Best Foods Limited,U55109CH2003PLC025876,55.0,1168000
202,Best It World (India) Private Limited,U30000MH1996PTC104553,,400000
203,Betex India Limited (Co Tr From Maha ),L17119GJ1992PLC018073,17.0,218000
204,Better Value Holdings Private Limited,U65993MH1989PTC051139,65.0,1000000
205,Bhageria Industries Limited,L40300MH1989PLC052574,40.0,4700000
206,Bhairavnath Sugar Works Limited,U15421PN2000PLC134301,,6716000
207,Bhandari Automobiles Private Limited,U51109WB1994PTC065147,,872900
208,Bharat Aluminium Co Ltd,U74899DL1965PLC004518,74.0,44100000
209,Bharat Dynamics Limited,U24292TG1970GOI001353,24.0,16743000
210,Bharat Forge Ltd,L25209PN1961PLC012046,25.0,112190000
211,Bharat Fritz Werner Limited,U85110KA1961PLC001433,86.0,2600000
212,Bharat Heavy Electricals Limited,L74899DL1964GOI004281,74.0,2391100000
213,Bharti Airtel Limited,L74899DL1995PLC070609,74.0,6100000
214,Bhaskar Industries Private Limited,U67120MP1985PTC003145,66.0,4954000
215,Bhavya Cements Limited,U26941AP2007PLC053611,,2900000
216,Bhimrajka Impex Limited,U51900MH1990PLC056732,,486000
217,Bhoruka Power Corporation Limited,U40101KA1986PLC007404,40.0,4500000
218,Bhushan Power & Steel Limited,U27100DL1999PLC108350,27.0,162000000
219,Biba Apparels Private Limited,U18100MH2002PTC136468,14.0,6034530
220,Big Bags International Private Limited,U24304KA2000PTC027403,,300000
221,Bilakhia Holdings Private Limited,U67120GJ1992PTC017523,,14300000
222,Billroth Hospitals Limited,U85110TN1994PLC027417,,433000
223,Bilt Graphic Paper Products Limited,U21000MH2007PLC172382,21.0,19300000
224,Biltech Building Elements Limited,U72900DL2001PLC109058,72.0,646060
225,Bimetal Bearings Limited,L29130TN1961PLC004466,29.0,15
226,Binaguri Tea Co Pvt Ltd,U01132WB1971PTC028016,,1520000
227,Biochem Pharmaceutical Industries Limited Part Ix,U24230MH2004PLC149397,21.0,3550000
228,Biochemical And Synthetic Products Private Limited,U24110TG1943PTC000621,,791000
229,Biocon Limited,L24234KA1978PLC003417,21.0,25700000
230,Birla Ericsson Optical Limited,L31300MP1992PLC007190,31.0,500000
231,Birla Furukawa Fibre Optics Private Limited,U33200GA2009PTC006140,,2100000
232,Bitwise Solutions Private Limited,U72200PN1997PTC015155,,2382924
233,Bla Coke Private Limited,U23101MH2005PTC189826,,2768795
234,Blackberry India Private Limited,U51909DL2004PTC127902,,3554647
235,Bma Stainless Limited,U27109WB2003PLC097108,,0
236,Bmd Private Limited,U18101RJ1996PTC012501,14.0,1010000
237,Bmr Business Solutions Private Limited,U74100MH2004PTC150047,74.0,715300
238,Bmw Industries Limited,L51109WB1981PLC034212,51.0,525000
239,Bnp Paribas India Solutions Private Limited,U72200MH2005PTC151511,,2100000
240,Bny Mellon International Operations (India) Private Limited,U72900PN2004FTC022163,,10093483
241,Bobst India Private Limited,U51909MH1995PTC091771,,3125000
242,Bodal Chemicals Limited,L24110GJ1986PLC009003,20.0,44700
243,Boeing International Corporation India Private Limited,U72900DL2003PTC123398,72.0,4974082
244,Bonfiglioli Transmissions Private Limited,U29309TN1998PTC040717,,2600000
245,Bosch Limited,L85110KA1951PLC000761,86.0,24890000
246,Bothra Shipping Services Private Limited,U61200WB2011PTC166481,,936124
247,Braithwaite & Co Ltd,U74210WB1976GOI030798,74.0,958000
248,Brightstar Infrastructure Private Limited,U45200MH2005PTC155055,45.0,802624
249,Brijwasi Bullions And Jewellers Private Limited (Transfered From Up),U92199DL2002PTC148186,,241660
250,Brillio Technologies Private Limited,U22190KA1997FTC022250,,0
251,Britannia Dairy Private Limited,U15201WB2002PTC191511,10.0,400000
252,Britannia Industries Ltd,L15412WB1918PLC002964,10.0,5100000
253,Broadcom Communications Technologies Private Limited,U72900KA2004PTC033347,,1
254,Broadridge Financial Solutions (India) Private Limited,U74999TG2007PTC052368,,8000000
255,Bry- Air (Asia) Private Limited,U74210DL1981PTC012456,,350288
256,Bs & B Safety Systems (India) Limited,L02411KA1988PLC009465,2.0,4000000
257,Bses Rajdhani Power Limited,U74899DL2001PLC111527,74.0,2012778
258,Bses Yamuna Power Limited,U74899DL2001PLC111525,74.0,3800000
