,0
Sai Regency Power Corporation Private Limited,20000000
Techno Electric & Engineering Company Limited,20000000
Motherson Sumi Systems Limited,20000000
Acb (India) Limited,19903101
Zydus Wellness Limited,19842000
Marico Limited,19700000
Adani Gas Limited,19700000
Microsoft India (R&D;) Private Limited,19490688
Unitedhealth Group Information Services Private Limited,19320000
The Karur Vysya Bank Limited,19124912
Spicer India Private Limited,19000000
Badve Engineering Limited,18900000
Riddhi Siddhi Developers Pvt Ltd,18851000
Indofil Industries Limited,18800000
Mmtc - Pamp India Private Limited,18756657
Maithon Power Limited,18700000
Astral Poly Technik Limited,18300000
Jindal Aluminium Limited.,18251000
Bahadur Chand Investments Private Limited,18250000
Visaka Industries Ltd.,18201000
Bhushan Power & Steel Limited,18200000
Dow Chemical International Private Limited,18200000
Advanced Micro Devices Pvt Ltd,18200000
Odisha Power Generation Corporation Limited,18167870
Religare Finvest Limited,18088432
Deutsche Investments India Private Limited,17800000
Emami Paper Mills Limited,17729000
Srei Equipment Finance Limited,17721000
Synchrony International Services Private  Limited,17719115
Abb India Limited,17700000
Pnb Metlife India Insurance Company Limited,17625520
Goldman Sachs (India) Capital Markets Private Limited,17600000
Sbi Dfhi Limited,17467941
Krishnapatnam Port Company Limited,17400000
Netapp India Private Limited,17385635
Odisha Power Transmission Corporation Limited,17175114
Yardi Software India Private Limited,16846406
Computer Age Management Services Private  Limited,16800000
Royal Beverages Private Limited,16800000
Deepak Fertilisers And Petrochemicals Corporation Ltd,16786000
Capri Global Capital Limited,16758058
Gujarat Road And Infrastructure Company Limited,16734400
Adani Wilmar Limited,16690000
Samsung India Electronics Private Limited,16500000
Multi Commodity Exchange Of India Limited,16400000
Navkar Corporation Limited,16287354
Tata Communications Transformation Services Limited,15755000
Genpact India Private Limited,15700000
Bny Mellon International Operations (India) Private Limited,15612250
Peninsula Land Limited,15600000
Cholamandalam Ms General Insurance Company Limited,15500000
J B Boda Reinsurance Brokers Private Limited,15500000
Lakshmi Machine Works Limited,15500000
Nomura Fixed Income Securities Private Limited,15431683
Hdb Financial Services Limited,15395000
Gmr Power Corporation Limited,15368000
Aparna Constructions And Estates Private  Limited,15302377
Rajapalayam Mills Limited,15300000
Renault Nissan Technology & Business Centre India Private Limited,15300000
Security Printing And Minting Corporation Of India Limited,15272080
Gujarat Urja Vikas Nigam Limited,15100000
Bodal Chemicals Limited,15065000
Urban Infrastructure Venture Capital Limited,15045279
Jivraj Tea Limited,15000000
Martin And Harris Laboratories Limited,15000000
Thyssenkrupp Industries India Private Limited,15000000
Sbi Life Insurance Company Limited,14985927
Hsbc Electronic Data Processing India Private Limited,14910293
Maharashtra Eastern Grid Power Transmission Company Limited,14900000
Taqa Neyveli Power Company Private Limited,14900000
Khr Hospitality India Limited,14800000
Nhdc Limited,14766000
Cisco Systems Capital (India) Private Limited,14503607
Karnataka Rural Infrastructure Development Limited,14500000
Sundram Fasteners Limited,14500000
Chimique (India) Limited,14400000
West Bengalstate Electricity Distribution Company Limited,14346202
Dhunseri Petrochem Limited,14300000
Johnson Lifts Private Limited,14260000
Jupiter Capital Private Limited,14210629
K S B Pumps Limited,14200000
Credit Suisse Services (India) Private Limited,14192332
Hindustan Thompson Associates Privatelimited,14100000
Gateway Terminals India Private Limited,14100000
Dboi Global Services Private Limited,14100000
Bfl Investments & Financial Consultants Private Limited,14075000
Fanuc India Private Limited,14060270
Gruh Finance Limited,14012822
Granules India Limited,14004000
Ecgc Limited,13945000
Tata Autocomp Hendrickson Suspensions Private Limited,13848569
Jm Financial Asset Reconstruction Company Private Limited,13800000
Force Motors Limited,13800000
Flextronics Technologies (India) Private  Limited,13800000
Dharampal Satyapal Limited,13790899
Vaibhav Global Limited,13740514
Asianet Communications Limited,13550000
Encube Ethicals Private Limited,13500000
Idbi Federal Life Insurance Company Limited,13500000
Lubrizol India Private Limited,13483868
Vatika Limited,13400000
Kosamattam Finance Limited,13366000
Sterlite Technologies Limited,13300000
Reliance Home Finance Limited,13300000
Gharda Chemicals Limited,13235000
Mcafee Software (India) Private Limited,13203897
Dredging Corporation Of India Limited,13155000
Hdfc Standard Life Insurance Company Limited,13128673
Msp Steel & Power Limited,13119000
C R I Pumps Private Limited,13100000
Torrent Power Limited,13061417
Tulsiani Builders And Textiles Private Limited,13000000
The Hindustan Times Ltd,13000000
Gateway Rail Freight Limited,12945280
Mazagon Dock Shipbuilders Limited,12903002
Neon Laboratories Limited,12884564
Akzo Nobel India Limited,12800000
Karnataka Power Transmission Corporation Limited,12800000
Tetra-Pak India Private Limited,12779475
Sonata Software Limited,12753000
Balasore Alloys Limited,12725282
Mangal Keshav Securities Limited,12650000
Ambuja Neotia Holdings Private Limited,12620833
Autotech Industries (India) Privatelimited,12600000
Nvidia Graphics Private Limited,12555071
Accenture Solutions Private Limited,12546220
Gkb Rx Lens Pvt Ltd,12520305
Gabriel India Limited,12510000
Jaiprakash Power Ventures Limited,12500000
Tvs Logistics Services Limited,12500000
Nirma Chemical Works Private Limited,12500000
Bajaj Finserv Limited,12500000
Munjal Showa Limited,12466893
63 Moons Technologies Limited,12446000
Ccl Products (India) Limited,12325000
Goodyear India Limited,12300000
Excel Crop Care Ltd,12185000
Capital First Limited,12104888
Madhya Gujarat Vij Company Limited,12045304
Nahar Spinning Mills Ltd,12040000
L&T; Hydrocarbon Engineering Limited,12000000
Interglobe Technology Quotient Private Limited,12000000
Gawar Construction Limited.,12000000
Isgec Heavy Engineering Limited,11973000
Ncc Limited,11940000
Nava Bharat Energy India Limited,11917310
Century Enka Limited,11914000
Texas Instruments (India) Private Limited,11908154
Desai Electronics Pvt Ltd,11900000
Ttk Prestige Limited,11900000
Toyota Kirloskar Auto Parts Private Limited,11870000
Hetero Drugs Limited,11859881
Kmv Projects Limited,11718000
Vidarbha Industries Power Limited,11700000
Sakal Papers Private Limited,11663807
Synopsys (India) Private Limited,11646746
Trimex Sands Private Limited,11643413
Grt Jewellers (India) Private Limited,11600000
Dr. Ramesh Cardiac And Multispeciality Hospital Private Limited,11550000
Gmr Gujarat Solar Power Limited,11544000
Arkay Logistics Limited,11500000
Morgan Stanley India Primary Dealer Private Limited,11500000
Zandu Realty Limited,11500000
Credit Suisse Finance (India) Private Limited,11400000
Apollo Trading And Finance Private Limited,11400000
Ambika Cotton Mills Limited,11400000
Tata Investment Corporation Limited,11350000
Garware Bestretch Limited,11335581
Agriculture Insurance Company Of India Limited,11320000
M. Pallonji Logistics Private Limited,11294031
Usv Private Limited,11248000
Apar Industries Limited,11200000
Tv18 Broadcast Limited,11100000
Sandoz Private Limited,11100000
Trident Limited,11030000
Makson Industries Private Limited,11000000
Jyoti Ceramic Industries Private Limited,11000000
Rajasthan Global Securities Private Limited,11000000
Ansal Housing And Construction Limited,10950000
Can-Pack India Private Limited,10900000
Power System Operation Corporation Limited,10827711
Jms Mining Services Private Limited,10800000
Indiabulls Commercial Credit Limited,10778000
Indian Designs Exports Private Limited,10750000
Nitin Spinners Limited,10626000
Hatsun Agro Product Limited,10600000
Nj Indiainvest Private Limited,10525000
Buhler (India) Private Limited,10521492
Fosroc Chemicals (India) Private Limited,10515078
Sound Securities Private Limited,10500000
Colgate-Palmolive (India) Limited,10500000
Sandur Power Company Private Limited,10500000
Britannia Industries Ltd,10500000
Shubhalakshmi Polyesters Limited,10416555
Ganesh Housing Corporation Limited,10411334
Sap Labs India Private Limited,10379272
Arunachala Logistics Private Limited,10306250
Railtel Corporation Of India Limited,10300000
Esdee Paints Limited,10299000
Balaji Amines Limited,10276804
Genus Power Infrastructures Limited,10101000
M3 Investment Private Limited,10100000
Archean Chemical Industries Private Limited,10034000
Colourtex Industries Private Limited,10000500
Banik Rubber Industries (India) Private Limited,10000000
Daund Sugar Private Limited,10000000
Microland Limited,10000000
Wharton Engineers And Developers Pvt Ltd,10000000
Pioneer Builderrs Limited,10000000
Gagandeep Credit Capital Private Limited,10000000
Samarth Life Sciences Private Limited,10000000
Rohit Iron And Steel (India) Private Limited,10000000
Ramgad Minerals And Mining Limited,10000000
Bharat Aluminium Co Ltd,10000000
Dsp Merrill Lynch Capital Limited,10000000
Hinduja Group Limited,10000000
Hsil Limited,9999000
Koch Chemical Technology Group India Private Limited,9977456
Mahindra Rural Housing Finance Limited,9943336
Jewelex India Private Limited,9900000
Indo Count Industries Limited,9886000
Provimi Animal Nutrition India Private Limited,9843988
Nomura Services India Private Limited,9831989
Geometric Limited,9810000
Spi Technologies India Private Limited,9800000
Aker Powergas Subsea Private Limited,9600000
Taegutec India Private Limited,9585675
India Infoline Housing Finance Limited,9582600
Synerzip Softech India Private Limited,9565141
Bharat Electronics Limited,9548000
Hdfc Ergo General Insurance Company Limited,9547193
Karnataka Renewable Energy Development Limited,9541493
Srs Limited,9525000
Kotak Mahindra Old Mutual Life Insurance Limited,9500000
Abi-Showatech (India) Limited,9500000
Economic Explosives Limited,9482000
Crescent Power Limited,9452173
Fluor Daniel India Private Limited,9416564
Fiserv India Private Limited,9348860
Edelweiss Financial Services Limited,9310000
Hitachi Payment Services Private Limited,9300000
Vestas Wind Technology India Private Limited,9300000
Varun Beverages Limited,9300000
Nanu Estates Private Limited,9292936
Tata Technologies Limited,9200000
Elecon Engineering Company Limited,9112000
National Stock Exchange Of India Ltd.,9100000
Sheel Chand Agroils Private Limited,9100000
Antrix Corporation Limited,9028000
Lt Foods Limited,9020000
Ge Money Financial Services Private Limited,9000000
Simplex Infrastructures Limited,9000000
Kec International Limited,8971000
Biba Apparels Private Limited,8969970
Huawei Telecommunications (India) Company Private Limited,8950857
Sk Nasiruddin Biri Merchants Pvt Ltd,8938609
The National Small Industries Corporation Limited,8919000
Shriram City Union Finance Limited,8900000
Laxmi Diamond Private Limited,8900000
Radico Nv Distilleries Maharashtra Limited,8808000
Vadinar Oil Terminal Limited,8800000
Satish Sugars Limited,8708954
Brickwork Ratings India Private Limited,8684538
Fullerton India Credit Company Limited,8642616
Best Seller United India Private Limited,8629880
Menzies Aviation Bobba (Bangalore) Private Limited,8591000
Pricewaterhousecoopers Service Delivery Center (Kolkata) Private Limited,8550000
Ineos Styrolution India Limited,8543228
Gangavaram Port Limited,8529080
Adani Ports And Special Economic Zone Limited,8500000
K M Dastur Reinsurance Brokers Private Limited,8500000
Ocean Sparkle Limited,8490000
Ansys Software Private Limited,8468680
Amphenol Interconnect India Private Limited,8421000
Malabar Jewels And Gems Private Limited,8370000
Bnp Paribas India Solutions Private Limited,8370000
Balaji Wafers Private Limited,8359750
Momentive Performance Materials (India) Private Limited,8322065
Ats Infrastructure Limited,8300000
Indian Renewable Energy Development Agency Limited,8292000
Bmc Software India Private Limited,8290975
National Insurance Co Ltd,8229248
Royal Sundaram General Insurance Co. Limited,8200000
Ambience Private Limited,8200000
Hyva (India) Private Limited,8200000
W S Atkins (India) Private Limited,8199994
Nsdl E-Governance Infrastructure Limited,8112000
J G Hosiery Private Limited,8100977
Timken Engineering And Research - India Private Limited,8100000
Acsys Investments Private Limited,8100000
Navin Fluorine International Limited,8071000
Boeing International Corporation India Private Limited,8063994
Nikon India Private Limited,8057520
Deep Industries Limited,8038000
Roca Bathroom Products Private Limited,8028000
Volkswagen Finance Private Limited,8024334
Uppal-Chadha Hi-Tech Developers Private Limited,8000000
V I P Industries Limited,8000000
Pentair Sanmar Limited,8000000
Gvpr Engineers Limited,7973000
Mahima Fibres Private Limited,7914600
Rajasthan Knowledge Corporation Limited,7905260
C.P.Aquaculture (India) Private Limited,7900000
D. E. Shaw India Private Limited,7885495
Poddar Tyres Limited,7825000
Standard Fire Works Private Limited,7800000
Ganga Medical Centre And Hospitals Private Limited,7800000
Kovai Medical Center And Hospital Limited,7800000
Lonsen Kiri Chemical Industries Limited,7800000
Sansera Engineering Private Limited,7780000
Wapcos Limited,7771806
Tree Hill Estates Private Limited,7735000
Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited,7731000
T T Limited,7700000
Himatsingka Seide Limited.,7700000
Intertek India Private Limited,7700000
Pawan Hans Limited,7690000
Eygbs (India) Private Limited,7673600
Qube Cinema Technologies Private Limited,7600000
Rane Trw Steering Systems Private Limited,7600000
Enviro Control Associates (India) Private Limited,7600000
Va Tech Wabag Limited,7600000
Bhageria Industries Limited,7600000
Rishi Fibc Solutions Private Limited,7575056
P L Raju Constructions Limited,7550000
Olympia Tech Park (Chennai) Private Limited,7500000
Valdel Engineers And Constructors Private Limited,7500000
Xomox Sanmar Limited,7500000
Lanco Amarkantak Power Limited,7500000
Grameen Koota Financial Services Private Limited,7500000
Sri Dhanalakshmi Cotton And Rice Mills Private Limited,7475000
Jsw Steel Coated Products Limited,7470000
Corolla Realty Limited,7456000
Ankit Gems Private Limited,7443333
Shri Bajrang Power And Ispat Limited,7426722
Shriji Polymers (India) Limited,7408000
Railtech Infraventure Private Limited,7405000
Passionate Investment Management Private  Limited,7400000
Group M Media India Private Limited,7400000
Hexaware Technologies Limited,7392000
Janalakshmi Financial Services Limited,7382850
Wonderla Holidays Limited,7337809
Sqs India Bfsi Limited,7300000
Hp India Sales Private Limited,7290000
Ferro Alloys Corporation Limited,7287000
Agrocel Industries Private Limited,7285000
Voltamp Transformers Limited,7275466
Sbi Funds Management Private Limited,7242000
Dlf Assets Private Limited,7218000
Hil Limited,7205000
Multimodal Storage Solutions Private Limited,7200000
Bangalore International Airport Limited,7152231
Volkswagen India Private Limited,7150000
Dhanuka Agritech Limited,7140000
Steel Strips Wheels Ltd,7124000
Johnson Matthey Chemicals India Private Limited,7110238
Triveni Turbine Limited,7110000
Radico Khaitan Limited,7106770
South India Corpn Private Limited,7100000
Elantas Beck India Limited,7100000
Mayur Uniquoters Limited,7001000
Jsk Industries Private Limited,7000000
Margadarsi Chit Fund Private Limited,7000000
Meghmani Organics Limited,7000000
Larsen & Toubro Infotech Limited,7000000
Padmini Vna Mechatronics Private Limited,7000000
Trl Krosaki Refractories Limited,6942095
Orient Blackswan Private Limited,6922734
Muthoot Finance Limited,6870474
Keihin Fie Private Limited,6869687
The Oriental Insurance Company Limited,6852299
Technip India Limited,6800000
Minda Sai Limited,6800000
Greatship (India ) Limited,6800000
Escorts Limited,6800000
Minix Holdings Private Limited,6800000
Federal-Mogul Tpr (India) Limited,6743000
Patton Developers Private Limited,6725000
Ratan Housing Development Limited,6700000
Cerner Healthcare Solutions Private Limited,6671989
Metlife Global Operations Support Center  Private Limited,6643400
Welspun Global Brands Limited,6610000
Om Telecom Logistics Private Limited,6600000
Express Newspapers Private Limited,6600000
Ht Media Limited,6600000
Flsmidth Private Limited,6600000
J. P. Morgan India Private Limited,6592388
Ankur Seeds Pvt Ltd,6576113
Sequoia Capital India Advisors Private Limited,6543877
Agarwal Coal Corporation Private Limited,6540000
National Aluminium Co Ltd,6515000
Vindhya Telelinks Limited,6500000
Barclays Investments & Loans (India) Limited.,6500000
Jaypee Development Corporation Limited,6500000
Brindavan Beverages Private Limited,6500000
Tata Aia Life Insurance Company Limited,6497614
Aarti Steels Limited,6488688
Divi'S Laboratories Limited,6484000
B.L. Agro Industries Limited,6437264
Gmr Warora Energy Limited,6404000
Fdc Limited,6400000
Kuantum Papers Limited,6395000
Tfl Quinn India Private Limited,6380133
Qrg Enterprises Limited.,6368000
Jbm Auto Limited,6346000
Kitex Childrenswear Limited,6317365
Ushodaya Enterprises Private Limited,6300000
The Metal Powder Company Limited,6300000
Loyal Textile Mills Limited,6300000
J.K. Fenner (India) Limited,6300000
Broadridge Financial Solutions (India) Private Limited,6300000
H And M Hennes And Mauritz India Private Limited,6300000
Nalwa Steel And Power Limited,6231296
Suryoday Micro Finance Limited,6228080
Sahara India Life Insurance Company Limited,6220500
Fci Aravali Gypsum And Minerals India Limited,6217245
Sledgehammer Oil Tools Private Limited.,6200000
Thiagarajar Mills Private Limited,6200000
Mapsko Builders Private Limited,6200000
Tata Motors Finance Limited,6197000
Oriental Carbon & Chemicals Ltd,6163000
Bridgestone India Private Limited,6152000
Sukhjit Starch And Chemicals Ltd,6110000
Malabar Gold Palace Private Limited,6100000
Kanam Latex Industries Pvt Ltd,6100000
Sri Krishna I-Tech And Management Solutions Private Limited,6100000
Ge Oil & Gas India Private Limited,6100000
Msl Driveline Systems Limited,6100000
Wipro Ge Healthcare Private Limited,6070006
Rungta Mines Limited,6034948
Idupulapadu Cotton Mills Private Limited,6015000
Bombay Minerals Limited,6011339
Bachhraj And Company Private Limited,6000000
Woodside Fashions Limited,6000000
Alf Engineering Private Limited,6000000
Tata Global Beverages Limited,6000000
Electro Steel Castings Ltd,6000000
Hospital Services Consultancy Corporation (India) Limited,6000000
Seshasayee Paper And Boards Limited,6000000
Srei Infrastructure Finance Limited,6000000
Intel Technology India Private Limited,6000000
Diamond Beverages Pvt. Ltd.,6000000
Harirani Investment And Trading Private Limited,6000000
Oriflame India Private Limited,6000000
Madhu Jayanti International Ltd,6000000
Venky'S (India) Limited,6000000
Kapoor Industries Limited.,5987538
Sandisk India Device Design Centre Private Limited,5978780
Manglam Build-Developers Limited,5900000
Anupam Rasayan India Limited,5900000
Essae -Teraoka Private Limited,5900000
Nbcc (India) Limited,5898000
Te Connectivity India Private Limited,5878900
Manhattan Associates (India) Development  Centre Pvt Ltd Isc,5822252
Ge T&D; India Limited,5820000
Sector 113 Gatevida Developers Private Limited,5806000
Impetus Infotech (India) Private Limited,5804000
West Bengal Infrastructure Development Finance Corpn Ltd (Wbgovt Company),5800000
Yashoda Healthcare Services Privatelimited,5800000
Hi Tech Arai Private Limited,5800000
Ginni Filaments Limited.,5785000
Gsp Crop Science Private Limited,5727000
Globe Fincap Limited.,5710000
Maruti Suzuki India Limited,5700000
Dabwali Transport Company Limited,5700000
Riviera Home Furnishings Private Limited,5700000
Manipal Global Education Services Private Limited,5700000
Oerlikon Balzers Coating India Private Limited,5700000
Kirloskar Industries Limited,5650000
Enco Engineers Combine (Plant Ii) Private Limited,5645757
Metrohm India Limited,5620000
Abil Infraprojects Limited,5600000
Nirman Shelters (Bangalore)Private Limited,5600000
Shri Ambalika Sugar Private Limited,5600000
Asirvad Micro Finance Private Limited,5595173
Jsw Industrial Gases Private Limited,5582172
Transpek-Silox Industry Private Limited,5580000
Doosan Power Systems India Private Limited,5547000
U A E Exchange And Financial Services Limited,5515309
Moet Hennessy India Private Limited,5514695
Indo Autotech Ltd.,5503400
Molecular Connections Private Limited,5500001
Pace Power Systems Private Limited,5500000
Grandhi Enterprises Private Limited,5500000
Gmmco Ltd,5500000
Gujarat Tea Processors And Packers Limited,5500000
Rajam Enterprises Private Limited,5500000
Indian Explosives Private Limited,5495000
Omega Renk Bearings Private Limited,5485771
Sigma Aldrich Chemicals Private Limited,5405280
Saregama India Limited,5400000
Unifrax India Private Limited,5400000
Goldman Sachs (India) Finance Private Limited,5400000
Chevron Phillips Chemicals India Private Limited,5400000
Motilal Oswal Securities Limited,5400000
Cisco Systems (India) Private Limited,5390000
Harita Fehrer Limited,5358000
Sbi Cards And Payment Services Private Limited.,5356450
Sri Krishna Pharmaceuticals Limited,5336000
Kalyan Silks Trichur Private Limited,5335378
Amalgamations Private Limited,5300000
Dst Worldwide Services India Privatelimited,5300000
Experis It Private Limited,5300000
Greenlam Industries Limited,5294000
Synechron Technologies Private Limited,5258000
Ntt Data Information Processing Services Private Limited,5237106
The Peerless General Finance & Investment Co Ltd,5235000
Eimco Elecon (India ) Limited,5234000
Vaisakhi Bio-Marine Private Limited,5230948
Cleartrail Technologies Private Limited,5215000
Ujala Merchants And Traders Limited,5207500
S H Kelkar And Company Limited,5200000
Deccan Cements Ltd,5199000
Excel Industries Limited,5169000
Direct News Private Limited,5160000
Harita Seating Systems Limited,5136000
Sahitya Mudranalaya Pvt Ltd,5118000
Hbl Power Systems Limited,5105000
Miraj Products Private Limited,5103132
Tnq Books & Journals Private Limited,5100000
Madras Christian College,5100000
Gujarat State Investment Limited,5100000
Satin Creditcare Network Limited,5100000
The K C P Limited,5094000
