,SNo.,company,amount
159,160,West Bengalstate Electricity Distribution Company Limited,"100,000.00"
160,161,Goodcare Pharma Pvt Ltd,"100,000.00"
161,162,Siro Clinpharm Private Limited,"100,000.00"
162,163,Ginza Industries Ltd.,"100,000.00"
163,164,Maheshwari Mining Private Limited,"100,000.00"
164,165,Aakarshan Tracom Private Limited,"100,000.00"
165,166,Sks Capital & Research Private Limited,"100,000.00"
166,167,Inland World Logistics Private Limited,"100,000.00"
167,168,Alliance Mills (Lessees) Ltd,"100,000.00"
168,169,Bridge & Roof Co (India) Ltd,"100,000.00"
169,170,Williamson Financial Services Limited,0.00
170,171,Regent Electro-Mech Private Limited,0.00
171,172,Noida Power Company Limited,0.00
172,173,Strategic Marketing Solutions And Research Centre Private Limited,0.00
173,174,Amgoorie India Ltd,0.00
174,175,Integrated Coal Mining Ltd,0.00
175,176,Onprocess Technology India Private Limited,0.00
176,177,Avr Storage Tank Terminals Private Limited,0.00
177,178,Madhumita Construction Pvt Ltd,0.00
178,179,Dmt Consulting Private Limited,0.00
179,180,Dey S Medical (U P) Private Limited,0.00
180,181,Rungta Agencies Pvt Ltd,0.00
181,182,Ronak Optik India Private Limited,0.00
182,183,Game Plan Sports Private Limited,0.00
183,184,Mili Consultants And Investment Pvt Ltd,0.00
184,185,Dwarkesh Engineering Works Pvt Ltd,0.00
185,186,Bijni Dooars Tea Co Ltd,0.00
186,187,Celex Technologies Private Limited,0.00
187,188,Avees Trading & Finance Pvt Ltd.,0.00
188,189,Pensol Industries Limited,0.00
189,190,Central India General Agents Ltd,0.00
190,191,Eureka Stock & Share Broking Services Limited,0.00
191,192,Greatwall Vanijya Ltd,0.00
192,193,Warren Tea Limited,0.00
193,194,Jaya Tracom Private Limited,0.00
194,195,Impex Ferro Tech Ltd,0.00
195,196,Power Grid Corporation Of India Limited,0.00
196,197,Neogold Vyapaar Private Limited,0.00
197,198,Mega Resources Ltd,0.00
198,199,Jre Tank Terminals Private Limited,0.00
199,200,Krishna Chandra Dutta(Spice) Pvt Ltd,0.00
200,201,Lebong Investments Private Limited,0.00
201,202,J D Marketing Pvt Ltd,0.00
202,203,Jet Age Finance Pvt. Ltd.,0.00
203,204,Apurva Export Pvt Ltd,0.00
204,205,India Infoline Housing Finance Limited,0.00
205,206,Akg Finvest Ltd,0.00
206,207,Sidhidata Tradecomm Limited,0.00
207,208,Desai Construction Private Limited,0.00
208,209,Magma Housing Finance Limited,0.00
209,210,Japfa Comfeed India Private Limited,0.00
210,211,Shree Harivansh Securities Private Limited,0.00
211,212,Placid Limited,0.00
212,213,Spencer International Hotels Limited,0.00
213,214,Kb Capital Markets Pvt Ltd,0.00
214,215,Altius Management Advisors Private Limited,0.00
215,216,Digital Radio (Kolkata) Broadcasting Limited,0.00
216,217,Jagaran Microfin Private Limited,0.00
217,218,Bengal Kyal Housing Development Limited,0.00
218,219,Crosseas Capital Services Private Limited,0.00
219,220,Heritage Health Insurance Tpa Private Limited,0.00
220,221,Vijaya Homes Private Limited,0.00
221,222,Swapna Printing Works Pvt Ltd,0.00
222,223,Btl Epc Limited,0.00
223,224,Sumathi Construction Private Limited,0.00
224,225,K B Saha & Sons Industries Private Limited,0.00
225,226,Joonktollee Tea & Industries Ltd.,0.00
226,227,Dhariwal Infrastructure Limited,0.00
227,228,Uno Metals Ltd,0.00
228,229,Deepak Industries Ltd,0.00
229,230,Infosoft Global Private Limited,0.00
